source_brand,target_brand,brand_class,pair_rows,mean_ratio,mean_tfidf_cosine_char,mean_score,source_brand_corpus_rows,target_brand_corpus_rows
Big 8,Peapod,distinct_brand_true_hard_negative,4,0.0,0.0,0.6820098310709,104,96
Everfresh,Xyience,distinct_brand_true_hard_negative,2,25.0,0.0,0.6715777218341827,33,19
North Coast,Central Market,distinct_brand_true_hard_negative,2,40.0,0.016968204832236995,0.7047917246818542,48,1
BOB,Prosain,distinct_brand_true_hard_negative,2,19.999999999999996,0.0,0.7130788862705231,85,8
Peace Tea,Seven Teas,distinct_brand_true_hard_negative,2,63.1578947368421,0.13820764785688816,0.6117799282073975,232,10
Rougemont,Bravo,distinct_brand_true_hard_negative,2,28.57142857142857,0.0,0.6466220319271088,41,34
Farm Boy,Rieme,distinct_brand_true_hard_negative,2,30.76923076923077,0.0,0.7221579253673553,143,7
Thick- It,Thick & Easy,partial_overlap_needs_review,2,66.66666666666667,0.3874385817149699,0.6856217980384827,99,25
Cemilefendi,Cemil,containment_or_truncation,2,62.5,0.44505390742118434,0.6921949982643127,110,2
Mr. Fitzpatrick's,Fiovana,distinct_brand_true_hard_negative,2,26.086956521739136,0.05343081790713022,0.7196003198623657,34,3
Pure,True North,distinct_brand_true_hard_negative,2,28.57142857142857,0.013111392885488769,0.7312420010566711,18,6
Ekobryggeriet,Recoaro,distinct_brand_true_hard_negative,2,30.000000000000004,0.0,0.651011049747467,68,7
Montellier,Stewart's,distinct_brand_true_hard_negative,2,31.57894736842105,0.012258007827222113,0.7225960791110992,83,21
Ethiquable,Fruity King,distinct_brand_true_hard_negative,2,19.047619047619047,0.0,0.7147485911846161,124,35
Peace Tea,Wicky,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.6672309637069702,232,28
Plein fruit,Clear American,distinct_brand_true_hard_negative,1,40.0,0.019305185014970687,0.6097532510757446,25,5
Pip Organic,Cevita,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.6208961009979248,63,36
Pip Organic,4Bro,distinct_brand_true_hard_negative,1,13.33333333333333,0.0,0.6372283697128296,63,12
Piacelli,Premier,distinct_brand_true_hard_negative,1,40.0,0.012029684809820347,0.7494990825653076,15,121
Phocus,Machu Picchu,distinct_brand_true_hard_negative,1,33.333333333333336,0.007951380884830946,0.5891154408454895,6,9
Pedras Salgadas,Olvi,distinct_brand_true_hard_negative,1,10.526315789473683,0.0,0.7070010900497437,61,52
Ozarka,Hildon,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.7080534100532532,196,5
Ozarka,Rieme,distinct_brand_true_hard_negative,1,18.181818181818176,0.0,0.5660333037376404,196,7
Peace Tea,Bravo,distinct_brand_true_hard_negative,1,14.28571428571429,0.0,0.5563480257987976,232,34
PLj,Tasting Good,distinct_brand_true_hard_negative,1,0.0,0.0,0.7053819298744202,25,10
Ozarka,Loviseberg Råsaft,distinct_brand_true_hard_negative,1,26.086956521739136,0.0,0.5836677551269531,196,36
Oze,Lakanto,distinct_brand_true_hard_negative,1,19.999999999999996,0.0,0.6648656129837036,222,14
Ozarka,Villi,distinct_brand_true_hard_negative,1,0.0,0.0,0.6810086965560913,196,25
Ozarka,Strike Force,distinct_brand_true_hard_negative,1,22.22222222222222,0.0,0.6568800210952759,196,13
Ozarka,Römerquelle,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.6108583807945251,196,25
Oze,What A Melon,distinct_brand_true_hard_negative,1,13.33333333333333,0.0,0.7033050656318665,222,3
226ers,PowerBar,distinct_brand_true_hard_negative,1,28.57142857142857,0.009696061105458379,0.6694165468215942,96,17
Plenish,Beebad,distinct_brand_true_hard_negative,1,15.384615384615385,0.0,0.6172597408294678,30,5
Produits U,Fruity King,distinct_brand_true_hard_negative,1,47.61904761904761,0.06242351062329099,0.6785687208175659,33,35
Puhdistamo,Clean Drink,distinct_brand_true_hard_negative,1,19.047619047619047,0.0,0.6879997849464417,123,29
Publix,Splenda,distinct_brand_true_hard_negative,1,30.76923076923077,0.0,0.5843260288238525,239,15
Publix,Pakola,distinct_brand_true_hard_negative,1,33.333333333333336,0.013881481399403414,0.7045034170150757,239,3
Publix,Nature's Promise,distinct_brand_true_hard_negative,1,18.181818181818176,0.00911584742182061,0.5719519257545471,239,9
Proviva,The Juice Company,distinct_brand_true_hard_negative,1,16.666666666666664,0.0,0.7336503863334656,222,22
Proviant,La Casera,distinct_brand_true_hard_negative,1,23.529411764705888,0.0,0.6913022994995117,47,32
Proud Source,Open Water,distinct_brand_true_hard_negative,1,27.27272727272727,0.0,0.6978589296340942,144,5
Produits U,Bravo,distinct_brand_true_hard_negative,1,26.66666666666667,0.0,0.7090198993682861,33,34
President's Choice,Garant,distinct_brand_true_hard_negative,1,25.0,0.015010934372793345,0.7117825746536255,259,63
Private Selection,Bizzy,distinct_brand_true_hard_negative,1,9.090909090909093,0.0,0.5912632346153259,36,6
Private Selection,Bio Primo,distinct_brand_true_hard_negative,1,30.76923076923077,0.11155449492713904,0.7025917768478394,36,13
Princes,Mehukatti,distinct_brand_true_hard_negative,1,12.5,0.0,0.7222020030021667,34,42
President's Choice,Teinacher,distinct_brand_true_hard_negative,1,44.44444444444444,0.012263650644551654,0.563906192779541,259,4
President's Choice,Peapod,distinct_brand_true_hard_negative,1,25.0,0.01001774744139923,0.6893531680107117,259,96
Organic Health,Watt's,distinct_brand_true_hard_negative,1,19.999999999999996,0.0,0.5697254538536072,62,3
President's Choice,Hildon,distinct_brand_true_hard_negative,1,25.0,0.0,0.6878150701522827,259,5
President's Choice,Kas,distinct_brand_true_hard_negative,1,9.523809523809524,0.01171382644828802,0.7225674390792847,259,17
