side,claim,gtin,gtin_group_size,gtin_group_brands,claim_share_in_group,gtin_check_independent,title_corroborates,title_check_independent,corpus_support,generic_token_fraction,is_generic_category_word,status,role,sku_id
source,Powerking,7611612221887,3,Powerkingx3,1.0,True,False,True,134,0.0005026318361420214,False,confirmed_by_co_listings,source,153415775
target,Powerking,7611612221887,3,Powerkingx3,1.0,False,True,False,134,0.0005026318361420214,False,derived_only_not_independently_checkable,target,153415775
source,Marcel,3700749304540,2,Marcelx2,1.0,True,True,True,129,0.0011169596358711587,False,confirmed_by_co_listings,source,510711467
target,Marcel,3700749304540,2,Marcelx2,1.0,False,True,False,129,0.0011169596358711587,False,derived_only_not_independently_checkable,target,510711467
source,Piacelli,,0,,0.0,True,True,True,15,6.980997724194742e-05,False,confirmed_by_title_only,source,80905704
target,Premier,7611612515344,3,Premierx3,1.0,False,True,False,343,0.0005165938315904109,False,derived_only_not_independently_checkable,target,80905704
source,PureThé,3551720039391,3,PureThéx3,1.0,True,True,True,23,0.0001815059408290633,False,confirmed_by_co_listings,source,2880687
target,Fresh Tea,3564700891827,2,Fresh Teax2,1.0,False,True,False,32,0.012300517990031136,True,generic_category_word,target,2880687
source,Ekolo,,0,,0.0,True,True,True,140,0.0014660095220808958,False,confirmed_by_title_only,source,279017608
target,Côteaux Nantais,3301591000774,2,Côteaux Nantaisx2,1.0,False,False,False,108,0.0,False,derived_only_not_independently_checkable,target,279017608
source,Mont,3375830000061,4,Montx4,1.0,True,False,True,50,0.0011169596358711587,False,confirmed_by_co_listings,source,934800838
target,Mont,3375830000016,2,Montx2,1.0,False,True,False,50,0.0011169596358711587,False,derived_only_not_independently_checkable,target,934800838
source,Erikli,,0,,0.0,True,False,True,169,2.7923990896778967e-05,False,unverified_no_independent_evidence,source,907813293
target,Erikli,8690793010052,4,Eriklix4,1.0,False,True,False,169,2.7923990896778967e-05,False,derived_only_not_independently_checkable,target,907813293
source,Quellbrunn,,0,,0.0,True,False,True,25,0.00012565795903550535,False,unverified_no_independent_evidence,source,49087055
target,Rheinfels Quelle,4101130003544,1,Rheinfels Quellex1,1.0,False,True,False,51,0.0,False,derived_only_not_independently_checkable,target,49087055
source,Mi Wadi,5011026701197,1,Mi Wadix1,1.0,True,True,True,35,0.00030716389986456866,False,confirmed_by_co_listings,source,74429047
target,Mi Wadi,5011026701203,2,Mi Wadix2,1.0,False,True,False,35,0.00030716389986456866,False,derived_only_not_independently_checkable,target,74429047
source,Cure Hydration,850025251792,3,Cure Hydrationx3,1.0,True,True,True,93,0.0011588456222163272,False,confirmed_by_co_listings,source,1041744561
target,Cure Hydration,850025251198,1,Cure Hydrationx1,1.0,False,True,False,93,0.0011588456222163272,False,derived_only_not_independently_checkable,target,1041744561
source,Dr. Smoothie,647854920407,1,Dr. Smoothiex1,1.0,True,True,True,47,0.006310821942672047,False,confirmed_by_co_listings,source,69888784
target,Dr. Smoothie,647854920407,1,Dr. Smoothiex1,1.0,False,True,False,47,0.006310821942672047,False,derived_only_not_independently_checkable,target,69888784
source,Body Attack,4250350519240,2,Body Attackx2,1.0,True,True,True,52,0.0006980997724194742,False,confirmed_by_co_listings,source,979292842
target,Body Attack,4250350519240,2,Body Attackx2,1.0,False,True,False,52,0.0006980997724194742,False,derived_only_not_independently_checkable,target,979292842
source,RC Cola,78000041163,8,RC Colax8,1.0,True,True,True,73,0.0010052636722840428,False,confirmed_by_co_listings,source,87945875
target,Live,890704002253,1,Livex1,1.0,False,True,False,53,0.0019826033536713065,False,derived_only_not_independently_checkable,target,87945875
source,Barsmith,614362707226,1,Barsmithx1,1.0,True,False,True,57,0.0006282897951775268,False,confirmed_by_co_listings,source,1029228545
target,Barsmith,614362707226,1,Barsmithx1,1.0,False,True,False,57,0.0006282897951775268,False,derived_only_not_independently_checkable,target,1029228545
source,DubbelFrisss,8720157400097,3,DubbelFrisssx3,1.0,True,False,True,168,0.0,False,confirmed_by_co_listings,source,769807373
target,Damla,5449000290823,1,Damlax1,1.0,False,True,False,41,0.0,False,derived_only_not_independently_checkable,target,769807373
source,May Tea,3124480189073,6,May Teax6,1.0,True,True,True,258,0.00297390503050696,False,confirmed_by_co_listings,source,93551199
target,May Tea,3124480189073,6,May Teax6,1.0,False,True,False,258,0.00297390503050696,False,derived_only_not_independently_checkable,target,93551199
source,The Gutsy Captain,,0,,0.0,True,False,True,38,0.0005165938315904109,False,unverified_no_independent_evidence,source,858728998
target,4Bro,4260667060786,1,4Brox1,1.0,False,True,False,86,0.0007120617678678636,False,derived_only_not_independently_checkable,target,858728998
source,Edeka,4311501346617,2,Edekax2,1.0,True,True,True,105,0.0014241235357357273,False,confirmed_by_co_listings,source,122543235
target,Edeka,4311501346617,2,Edekax2,1.0,False,True,False,105,0.0014241235357357273,False,derived_only_not_independently_checkable,target,122543235
source,Tradition,,0,,0.0,True,True,True,106,0.001242617594906664,False,confirmed_by_title_only,source,1034110917
target,Get More,5060338922066,2,Get Morex2,1.0,False,True,False,94,0.0012286555994582746,False,derived_only_not_independently_checkable,target,1034110917
source,Jocko,,0,,0.0,True,True,True,57,0.0007958337405582006,False,confirmed_by_title_only,source,948958419
target,Jocko,708088781575,1,Jockox1,1.0,False,True,False,57,0.0007958337405582006,False,derived_only_not_independently_checkable,target,948958419
source,Alpro,,0,,0.0,True,True,True,48,0.0005724418133839688,False,confirmed_by_title_only,source,231929899
target,Alpro,5411188129257,9,Alprox9,1.0,False,True,False,48,0.0005724418133839688,False,derived_only_not_independently_checkable,target,231929899
source,Siracuse,,0,,0.0,True,False,True,60,0.0003909358725549055,False,unverified_no_independent_evidence,source,416255674
target,Siracuse,8009490001087,4,Siracusex4,1.0,False,True,False,60,0.0003909358725549055,False,derived_only_not_independently_checkable,target,416255674
source,Shine Water,850036444121,2,Shine Waterx2,1.0,True,True,True,45,0.0006422517906259162,False,confirmed_by_co_listings,source,998144757
target,Shine Water,850036444121,2,Shine Waterx2,1.0,False,True,False,45,0.0006422517906259162,False,derived_only_not_independently_checkable,target,998144757
source,Flawsome!,,0,,0.0,True,True,True,17,0.00022339192717423174,False,confirmed_by_title_only,source,1003817397
target,Flawsome!,5060524790004,2,Flawsome!x2,1.0,False,True,False,17,0.00022339192717423174,False,derived_only_not_independently_checkable,target,1003817397
source,Oca,24474007839,4,Ocax4,1.0,True,True,True,23,0.00020942993172584225,False,confirmed_by_co_listings,source,702798748
target,A SHOC,810014530482,9,A SHOCx4; Acceleratorx3; Adrenaline Shocx2,0.4444444444444444,False,True,False,72,0.0022059952808455383,False,derived_only_not_independently_checkable,target,702798748
source,Repp,,0,,0.0,True,False,True,16,0.0001815059408290633,False,unverified_no_independent_evidence,source,482436758
target,3D,850003560526,1,3Dx1,1.0,False,False,False,81,0.0010611116540776007,False,derived_only_not_independently_checkable,target,482436758
source,Fun Light,,0,,0.0,True,True,True,103,0.0023735392262262123,False,confirmed_by_title_only,source,83266210
target,Fun Light,7316110000889,1,Fun Lightx1,1.0,False,True,False,103,0.0023735392262262123,False,derived_only_not_independently_checkable,target,83266210
source,Erikli,,0,,0.0,True,False,True,169,2.7923990896778967e-05,False,unverified_no_independent_evidence,source,143150379
target,Erikli,8690793010106,3,Eriklix3,1.0,False,True,False,169,2.7923990896778967e-05,False,derived_only_not_independently_checkable,target,143150379
source,Naren,,0,,0.0,True,True,True,57,0.0007679097496614216,False,confirmed_by_title_only,source,145338357
target,Arifoglu,8691530927824,4,Arifoglux4,1.0,False,True,False,20,0.00015358194993228433,False,derived_only_not_independently_checkable,target,145338357
source,Farm Boy,,0,,0.0,True,True,True,143,0.0020105273445680857,False,confirmed_by_title_only,source,841683344
target,Rieme,3292481350010,3,Riemex3,1.0,False,True,False,18,4.1885986345168454e-05,False,derived_only_not_independently_checkable,target,841683344
source,Mehustamo,7340191129047,2,Mehustamox2,1.0,True,False,True,58,0.0,False,confirmed_by_co_listings,source,735740777
target,Mehustamo,7340191129047,2,Mehustamox2,1.0,False,True,False,58,0.0,False,derived_only_not_independently_checkable,target,735740777
source,Pure,,0,,0.0,True,True,True,18,0.02595534953855605,True,generic_category_word,source,992854293
target,True North,815154024136,6,True Northx6,1.0,False,True,False,50,0.0018010974128422434,False,derived_only_not_independently_checkable,target,992854293
source,George's,810158588257,2,George'sx2,1.0,True,True,True,20,0.0002513159180710107,False,confirmed_by_co_listings,source,902850750
target,Agalima,810158583115,2,Agalimax2,1.0,False,True,False,41,0.0005584798179355794,False,derived_only_not_independently_checkable,target,902850750
source,Oregon Chai,,0,,0.0,True,True,True,22,0.00029320190441617914,False,confirmed_by_title_only,source,810773414
target,Oregon Chai,707082120328,1,Oregon Chaix1,1.0,False,True,False,22,0.00029320190441617914,False,derived_only_not_independently_checkable,target,810773414
source,Bremner's,,0,,0.0,True,True,True,19,0.0002513159180710107,False,confirmed_by_title_only,source,962295719
target,L&A,746155811152,1,L&Ax1,1.0,False,False,False,100,1.0,False,derived_only_not_independently_checkable,target,962295719
source,José Cuervo,,0,,0.0,True,True,True,65,0.0008516817223517586,False,confirmed_by_title_only,source,73027471
target,José Cuervo,811538011242,2,José Cuervox2,1.0,False,False,False,65,0.0008516817223517586,False,derived_only_not_independently_checkable,target,73027471
source,Zingo,7310070006776,2,Zingox2,1.0,True,False,True,81,0.0007539477542130321,False,confirmed_by_co_listings,source,914755342
target,Kas,8410408012901,1,Kasx1,1.0,False,True,False,127,0.0018988313809809698,False,derived_only_not_independently_checkable,target,914755342
source,Dunkin',,0,,0.0,True,False,True,155,0.002052413330913254,False,unverified_no_independent_evidence,source,856949182
target,Victor Allen's,811130033512,1,Victor Allen'sx1,1.0,False,True,False,57,0.0006701757815226953,False,derived_only_not_independently_checkable,target,856949182
source,Clearly Canadian,,0,,0.0,True,True,True,220,0.0026946651215391704,False,confirmed_by_title_only,source,902979373
target,Recess,10850019179238,2,Recessx2,1.0,False,True,False,59,0.0008237577314549795,False,derived_only_not_independently_checkable,target,902979373
source,Puhdistamo,6430039222359,5,Puhdistamox5,1.0,True,False,True,123,2.7923990896778967e-05,False,confirmed_by_co_listings,source,283686895
target,Puhdistamo,5151808487557,1,Puhdistamox1,1.0,False,True,False,123,2.7923990896778967e-05,False,derived_only_not_independently_checkable,target,283686895
source,Rheinfels Quelle,,0,,0.0,True,False,True,51,0.0,False,unverified_no_independent_evidence,source,249360137
target,Rheinfels Quelle,4101130003544,1,Rheinfels Quellex1,1.0,False,True,False,51,0.0,False,derived_only_not_independently_checkable,target,249360137
source,Sinalco,4018715527008,1,Sinalcox1,1.0,True,True,True,111,0.001410161540287338,False,confirmed_by_co_listings,source,141909509
target,Sinalco,4018715527008,1,Sinalcox1,1.0,False,True,False,111,0.001410161540287338,False,derived_only_not_independently_checkable,target,141909509
source,Pureness,,0,,0.0,True,True,True,39,0.0005305558270388003,False,confirmed_by_title_only,source,981855534
target,Pureness,7350116311976,3,Purenessx3,1.0,False,True,False,39,0.0005305558270388003,False,derived_only_not_independently_checkable,target,981855534
source,Cocofina,,0,,0.0,True,True,True,74,0.0010192256677324324,False,confirmed_by_title_only,source,159449556
target,Cocofina,5060118260203,44,Cocofinax44,1.0,False,True,False,74,0.0010192256677324324,False,derived_only_not_independently_checkable,target,159449556
source,Marcel,3700749300023,3,Marcelx3,1.0,True,False,True,129,0.0011169596358711587,False,confirmed_by_co_listings,source,438276139
target,Daylesford,721866639691,1,Daylesfordx1,1.0,False,True,False,71,0.0009913016768356533,False,derived_only_not_independently_checkable,target,438276139
source,Levissima,,0,,0.0,True,False,True,168,0.00011169596358711587,False,unverified_no_independent_evidence,source,89697839
target,Levissima,80015536,5,Levissimax5,1.0,False,True,False,168,0.00011169596358711587,False,derived_only_not_independently_checkable,target,89697839
source,Fun Light,7350126085713,4,Fun Lightx4,1.0,True,False,True,103,0.0023735392262262123,False,confirmed_by_co_listings,source,718842803
target,Fun Light,7350126085713,4,Fun Lightx4,1.0,False,True,False,103,0.0023735392262262123,False,derived_only_not_independently_checkable,target,718842803
source,Sir Up,,0,,0.0,True,False,True,51,1.3961995448389483e-05,False,unverified_no_independent_evidence,source,93534941
target,Hip Syrups,609311269993,1,Hip Syrupsx1,1.0,False,True,False,21,0.0009075297041453164,False,derived_only_not_independently_checkable,target,93534941
source,Live,,0,,0.0,True,False,True,53,0.0019826033536713065,False,unverified_no_independent_evidence,source,5270811
target,Live,815298020049,2,Livex2,1.0,False,True,False,53,0.0019826033536713065,False,derived_only_not_independently_checkable,target,5270811
source,Pibb,,0,,0.0,True,True,True,74,0.0010192256677324324,False,confirmed_by_title_only,source,851181878
target,Pibb,677937753189,1,Pibbx1,1.0,False,True,False,74,0.0010192256677324324,False,derived_only_not_independently_checkable,target,851181878
source,Les Fees Bio,,0,,0.0,True,False,True,39,1.3961995448389483e-05,False,unverified_no_independent_evidence,source,175080540
target,Cidou,3760225494035,1,Cidoux1,1.0,False,True,False,62,0.0005864038088323583,False,derived_only_not_independently_checkable,target,175080540
source,Ethiquable,3760278861228,4,Ethiquablex4,1.0,True,False,True,124,0.0,False,confirmed_by_co_listings,source,348818468
target,Fruity King,8714862616010,2,Fruity Kingx2,1.0,False,True,False,95,0.0016195914720131801,False,derived_only_not_independently_checkable,target,348818468
source,Nature Blessed,18184790099,1,Nature Blessedx1,1.0,True,True,True,15,0.00019546793627745276,False,confirmed_by_co_listings,source,580667538
target,L&A,129600516787,1,L&Ax1,1.0,False,False,False,100,1.0,False,derived_only_not_independently_checkable,target,580667538
source,Coco Rico,706098268871,2,Coco Ricox2,1.0,True,True,True,17,0.0005026318361420214,False,confirmed_by_co_listings,source,114282359
target,Coco Rico,706098268871,2,Coco Ricox2,1.0,False,True,False,17,0.0005026318361420214,False,derived_only_not_independently_checkable,target,114282359
source,Exotic,,0,,0.0,True,False,True,87,0.003378802898510255,False,unverified_no_independent_evidence,source,809612299
target,Poikain Parhaat,6430065312451,2,Poikain Parhaatx2,1.0,False,True,False,43,0.0,False,derived_only_not_independently_checkable,target,809612299
source,Possmei,786173938622,1,Possmeix1,1.0,True,True,True,21,0.00029320190441617914,False,confirmed_by_co_listings,source,210057699
target,Possmei,786173938622,1,Possmeix1,1.0,False,True,False,21,0.00029320190441617914,False,derived_only_not_independently_checkable,target,210057699
source,A SHOC,,0,,0.0,True,True,True,72,0.0022059952808455383,False,confirmed_by_title_only,source,905364999
target,Rambler,860004467946,5,Ramblerx5,1.0,False,True,False,42,0.0005864038088323583,False,derived_only_not_independently_checkable,target,905364999
source,Bio Frutti,,0,,0.0,True,False,True,33,0.0007958337405582006,False,unverified_no_independent_evidence,source,95650189
target,Bio Frutti,3770000858198,3,Bio Fruttix3,1.0,False,True,False,33,0.0007958337405582006,False,derived_only_not_independently_checkable,target,95650189
source,Brämhults,,0,,0.0,True,True,True,251,0.0014799715175292853,False,confirmed_by_title_only,source,147920571
target,Brämhults,7313619001461,3,Brämhultsx3,1.0,False,False,False,251,0.0014799715175292853,False,derived_only_not_independently_checkable,target,147920571
source,Hildon,,0,,0.0,True,True,True,43,0.0006003658042807479,False,confirmed_by_title_only,source,4904204
target,Hildon,5017160000028,1,Hildonx1,1.0,False,True,False,43,0.0006003658042807479,False,derived_only_not_independently_checkable,target,4904204
source,Cal Valls,,0,,0.0,True,True,True,181,0.001954679362774528,False,confirmed_by_title_only,source,580678791
target,Garant,7340083444616,2,Garantx2,1.0,False,True,False,191,0.0,False,derived_only_not_independently_checkable,target,580678791
source,Bio Gourmet,,0,,0.0,True,True,True,27,0.0010471496586292113,False,confirmed_by_title_only,source,508529711
target,Vitalhaus,4041685003449,2,Vitalhausx2,1.0,False,True,False,134,0.00012565795903550535,False,derived_only_not_independently_checkable,target,508529711
source,Proviva,7310867008631,5,Provivax5,1.0,True,False,True,222,0.0007679097496614216,False,confirmed_by_co_listings,source,55602974
target,Proviva,7350000550597,5,Provivax5,1.0,False,True,False,222,0.0007679097496614216,False,derived_only_not_independently_checkable,target,55602974
