token,class,n_occurrences,verdict,rule
15,pure_int,20923,strip,strip
25,pure_int,18552,strip,strip
50,pure_int,5371,strip,strip
473,pure_int,1868,strip,strip
10,pure_int,1788,keep_brand,keep_brand
150,pure_int,988,strip,strip
700,pure_int,679,strip,strip
946,pure_int,669,strip,strip
325,pure_int,434,strip,strip
591,pure_int,389,strip,strip
237,pure_int,376,strip,strip
30,pure_int,374,strip,strip
75,pure_int,370,strip,strip
20,pure_int,368,strip,strip
1893,pure_int,303,keep_brand,keep_brand
450,pure_int,288,strip,strip
230,pure_int,263,strip,strip
400,pure_int,248,strip,strip
275,pure_int,245,strip,strip
850,pure_int,210,strip,strip
296,pure_int,209,strip,strip
60,pure_int,201,strip,strip
1250,pure_int,199,strip,strip
48,pure_int,188,strip,strip
1.5,decimal,184,strip,strip
414,pure_int,174,strip,strip
340,pure_int,173,strip,strip
800,pure_int,173,strip,strip
1750,pure_int,158,strip,strip
6x1.,multiplier,143,strip,strip
14,pure_int,142,strip,strip
16.9,decimal,139,strip,strip
18,pure_int,138,strip,strip
900,pure_int,138,strip,strip
99,pure_int,136,strip,strip
222,pure_int,128,strip,strip
532,pure_int,124,strip,strip
1360,pure_int,122,strip,strip
84,pure_int,118,strip,strip
227,pure_int,110,strip,strip
6x1l,multiplier,107,strip,strip
40,pure_int,101,strip,strip
1745,pure_int,99,strip,strip
90,pure_int,99,strip,strip
650,pure_int,98,strip,strip
125,pure_int,97,strip,strip
370,pure_int,96,strip,strip
11,pure_int,95,strip,strip
1499,pure_int,95,strip,strip
2.5,decimal,94,strip,strip
4pk,num_unit,94,strip,strip
72,pure_int,93,strip,strip
0.5,decimal,92,strip,strip
80,pure_int,90,strip,strip
28,pure_int,87,keep_brand,keep_brand
o2,word_embedded,87,keep_brand,keep_brand
1538,pure_int,85,strip,strip
444,pure_int,85,strip,strip
120,pure_int,82,strip,strip
9.5,decimal,80,strip,strip
350,pure_int,79,strip,strip
240,pure_int,78,strip,strip
33.8,decimal,78,strip,strip
b12,word_embedded,76,keep_nutrient,keep_nutrient
59,pure_int,75,strip,strip
6x0.,multiplier,75,strip,strip
310,pure_int,73,keep_brand,keep_brand
alkaline88,word_embedded,72,keep_brand,keep_brand
180,pure_int,71,keep_brand,keep_brand
3d,word_embedded,68,keep_brand,keep_brand
12x0.,multiplier,67,strip,strip
35,pure_int,67,strip,strip
680,pure_int,67,strip,strip
