product_id,retailer,country,title,description,category_path,url,image_url,price,barcode,brand,category,attributes
1000045343,Walmart,USA,Uptime Beverage Energy Blueberry Pomegranate Sugar Free 12 fl oz ( Pack Of 12),""""" 
* Experience a refreshing twist with blueberry-pomegranate flavor. 
* Stay energized without the sugar overload for a healthier choice. 
* 12-pack offers great value for your daily energy needs. 
""""","["""" Food"""","""" Beverages"""","""" Energy Drinks"""","""" Energy Drinks""""]",https://www.walmart.com/ip/Uptime-Beverage-Energy-Blueberry-Pomegranate-Sugar-Free-12-fl-oz-Pack-Of-12/9172621766?classType=VARIANT,https://i5.walmartimages.com/seo/Uptime-Beverage-Energy-Blueberry-Pomegranate-Sugar-Free-12-fl-oz-Pack-Of-12_0985502a-ac0d-470a-a2cc-89dad471f06b.a51d3ed07373436d8f9ce2f6155da08b.jpeg,44.99,,Uptime,Energy Drinks,"Carbonization: still; Juice Content: 0-2%; Volume: 355; Flavour: blueberry, pomegranate; Health Claims: no sugar, energy boosting"
1000875016,Trendyol,Turkey,cocoon disposable sour cherry flavored powder drink 50's - YLT4418-9283,,"[""""supermarket"""",""""food and beverage"""","""" still drinks""""]",https://www.trendyol.com/yilter/koza-tek-icimlik-visne-aromali-toz-icecek-50-li-ylt4418-9283-p-869259590,https://cdn.dsmcdn.com///ty1544/prod/QC/20240913/23/a11e49ef-d43a-393d-9410-a575befafa08/1_org_zoom.jpg,270.83,,Koza,Powder Concentrates,Count per Unit: 50; Juice Content: 0-2%; Pack Type: Carton/Box; Flavour: cherry; Concentrate Format: powder
1001750440,Walmart,USA,"Culture Pop Soda Sparkling Probiotic Drink, Ginger Lemon, 12 Pack, 12 Fl Oz Cans",""""" 
* PROBIOTIC SODA YOU CAN FEEL GOOD ABOUT!: More flavorful than a seltzer but much less sweet than traditional colas or fruit sodas, CULTURE POP soda is sweetened with fruit juice, no refined sugar ","["""" Food"""","""" Beverages"""","""" Soda Pop"""","""" Modern Soda""""]",https://www.walmart.com/ip/Culture-Pop-Soda-Sparkling-Probiotic-Drink-Ginger-Lemon-12-Pack-12-Fl-Oz-Cans/13707003935?classType=VARIANT,https://i5.walmartimages.com/seo/Culture-Pop-Soda-Sparkling-Probiotic-Drink-Ginger-Lemon-12-Pack-12-Fl-Oz-Cans_10c03161-09ec-4f85-9293-176f17df6c88.957c3c61b319eb45682b41daf40cc521.jpeg,28.9,,Culture Pop,Other Non-Cola Carbonates,"Sustainable Sourcing: organic; Volume: 355; Diets: plant-based, vegan, kosher; Carbonization: carbonated, sparkling; Sweetener: stevia; Juice Content: 0-2%; Flavour: ginger, lemon; Health Claims: digestive health, probiotic; Pack Type: Can; No Artificial Ingredients: no artificial sweeteners, no gmo"
10038286,jet.com,USA,GUS Dry Pomegranate 12 Oz Glass Bottle ( Pack of 12),,"[""""grocery"""",""""beverages"""",""""soft-drinks""""]",https://jet.com/product/product/cc08b5142a0643019b7b0ac72d6c0780,https://images.jet.com/md5/4f60520bb6352c4b02323d1ffdd259b4,34.49,,Gus,Other Non-Cola Carbonates,Volume: 355; Flavour: pomegranate; Pack Material Type: Glass; Pack Type: Bottle; Carbonization: still; Juice Content: 0-2%
1004734175,Coop,Sweden,julmust Bourbon,".
storage 
stored for a maximum of 30 days °C
country of manufacture 
sweden","["""" drink"""","""" lask"""","""" colasmak""""]",https://www.coop.se/handla/varor/-7310401051376,http://res.cloudinary.com/coopsverige/image/upload/v1686893552/cloud/283226.tiff,13.95,7310401051376,Nygårda,Other Non-Cola Carbonates,Carbonization: gently carbonated; Pack Type: Bottle; Sweetener: sugar; Juice Content: 0-2%; Volume: 330
1009463700,Target,USA,"EH Plabs Oxy Shred Energy Drink - Zero Sugar, Zero Calories, with Amino Acids, Vitamin C, Green Tea Extract & Clean Caffeine - Passionfruit (12- Pack)","
[ingredients_start]
 Does Not Contain Any of the 9 Major Allergens Form: Liquid 
[ingredients_end]
State of Readiness: Ready to Drink Caffeine claim: Caffeinated Package Quantity: 12 Net weight: 144 ","["""" Grocery"""","""" Beverages"""","""" Energy Drinks""""]",https://www.target.com/p/ehplabs-oxyshred-energy-drink-zero-sugar-zero-calories-with-amino-acids-vitamin-c-green-tea-extract-clean-caffeine-passionfruit-12-pack/-/A-1000989702,https://target.scene7.com/is/image/Target/GUEST_5d2d95fe-8c54-4d12-bbd4-92e192dc3329,29.99,850029937326,OxyShred,Energy Drinks,"Sports Positioning: pre-workout; Geographic Origin: united states; No Artificial Ingredients: no artificial colours; Flavour: tea, passionfruit; Health Claims: no added sugar, no sugar, energy boosting, mood-enhancing, stress relief, immune system health, good source of minerals, good source of vitamins, nootropic/enhanced mental performance, no calories; Energy Source: green tea, guarana; Volume: 473; Carbonization: carbonated; Free From: no caffeine, no allergens; Immune Support Ingredients: vitamin c; Pack Type: Can; Naturally derived: natural colourants, natural flavours, natural; Caffeine: 50-100 mg; Juice Content: 0-2%"
1009974015,amazon,France,monoprix gourmet juice pineapple melon mango - the 75 cl bottle,"# product information 
collapse all expand all dimensions counting unit 750.00 milliliter 
# your opinion 
log in to write a comment."""" id=""""lower Price Sign In""""> do you want to tell us about lower pric","["""" all stores"""","""" grocery"""","""" coffee, tea and drinks"""","""" juice"""","""" juice""""]",https://www.amazon.fr/dp/B0DB51Q2YT,https://m.media-amazon.com/images/I/31I96KhmuWL._AC_UL320_.jpg,4.15,,Monoprix,Not from Concentrate 100% Juice,"Pack Type: Bottle; Volume: 750; Carbonization: still; Flavour: melon, pineapple, mango; Juice Content: 100%; Caffeine: 15-25 mg; Made From: melon, passion fruit, pineapple, mango"
1011555351,amazon,France,Holy Water from heavy 500 ml - 4,"mark mapp 
flavorless flavor 
bottle packaging information 
number of units 500 milliliter 
bottle package type 
maker mapp 
## product information 
# technical description 
mark ‎mapp 
spare parts av","["""" grocery"""","""" coffee, tea and drinks"""","""" waters"""","""" still waters""""]",https://www.amazon.fr/dp/B0B3S1K8GQ,https://m.media-amazon.com/images/I/41DchHKq8jL._AC_UL320_.jpg,25.15,,Lourdes,Still Bottled Water,Volume: 500; Juice Content: 0-2%; Caffeine: 15-25 mg; Carbonization: still
1014107853,amazon,USA,"Dad's Old Fashioned Cream Soda, 12 oz, 4 Pack, Glass Bottles","* * *
## Important information 
[ingredients_start]
Ingredients 
On the package 
[ingredients_end]

Legal Disclaimer 
Statements regarding dietary supplements have not been evaluated by the FDA and ar","["""" Any Department"""","""" Grocery & Gourmet Food"""","""" Beverages"""","""" Bottled Beverages, Water & Drink Mixes"""","""" Soft Drinks""""]",https://www.amazon.com/dp/B0DPXX3BC2,https://m.media-amazon.com/images/I/41yecqk1uDL._AC_UL320_.jpg,17.99,,Dad's,Other Non-Cola Carbonates,Volume: 355; Carbonization: still; Juice Content: 0-2%
1014349429,Walmart,USA,100% Authentic Key Lime Juice 16 Oz,""""" None"""" ; Fruit Type Key Lime ; Container Type Bottle ; Manufacturer FLORIDA KEY WEST ; Brand Florida Key West","["""" Food"""","""" Beverages"""","""" Juices"""","""" All Juices""""]",https://www.walmart.com/ip/100-Authentic-Key-Lime-Juice-16-Oz/7790652034,https://i5.walmartimages.com/seo/100-Authentic-Key-Lime-Juice-16-Oz_6733bc50-c8a3-4b39-b3d5-1b4dfb2954c6.4c687255e91f5d2dbad9c6eeeb5a3f64.jpeg,22.09,,Florida,Reconstituted 100% Juice,Volume: 473; Pack Type: Bottle; Juice Content: 100%; Made From: lime; Carbonization: still; Flavour: lime
1014433548,Walmart,USA,"Sun Drop Diet Cherry Lemon Soda, 12 oz (24 Cans)",""""" Sun Drop Diet Cherry Lemon Soda, 12 oz (24 Cans)"""" ; Flavor Cherry Lemon ; Container Type Can ; Brand Nestora","["""" Food"""","""" Beverages"""","""" Soda Pop"""","""" Cherry Soda""""]",https://www.walmart.com/ip/Sun-Drop-Diet-Cherry-Lemon-Soda-12-oz-24-Cans/5583680385,https://i5.walmartimages.com/seo/Sun-Drop-Diet-Cherry-Lemon-Soda-12-oz-24-Cans_b1955869-1194-4ae1-b073-04ae78f4f02b.360e35492433d339fdd4ba68a145c0b1.jpeg,44.79,,Sundrop,Other Non-Cola Carbonates,"Volume: 355; Flavour: lemon, cherry; Juice Content: 0-2%"
1015058421,Walmart,USA,"Big Red Big Red Zero Cream Soda Soft Drink Bundled by ( Big Red Zero, 24 Pack 12 oz)",""""" Big Red Big Red Zero Cream Soda Soft Drink Bundled by ( Big Red Zero, 24 Pack 12 oz)"""" ; Flavor Cream Soda ; Container Type Can ; Brand Big Red","["""" Food"""","""" Beverages"""","""" Soda Pop"""","""" All Soda Pop""""]",https://www.walmart.com/ip/Big-Red-Big-Red-Zero-Cream-Soda-Soft-Drink-Bundled-by-Big-Red-Zero-24-Pack-12-oz/8090754113?classType=VARIANT,https://i5.walmartimages.com/seo/Big-Red-Big-Red-Zero-Cream-Soda-Soft-Drink-Bundled-by-Big-Red-Zero-24-Pack-12-oz_6fa941a4-7dbf-462a-9f79-f46f0c21a62b.70eeb1aacfc7d3eee8910c47de954dfc.jpeg,42.4,,Big Red,Other Non-Cola Carbonates,Juice Content: 0-2%; Volume: 355; Pack Type: Carton/Box
