gtin1,gtin2,true_label
100141457524,796762808045,1
100141564826,100142347862,1
100141564826,100142790682,1
100141564826,100142961532,1
100141564826,915953021616,1
100142347862,100142790682,1
100142347862,100142961532,1
100142347862,915953021616,1
100142790682,100142961532,1
100142790682,915953021616,1
100142961532,915953021616,1
100403031103,696850062086,1
10637910000041,10637910325618,1
129600516787,746155811152,1
129600516787,746155811169,1
183633000033,183633000132,1
185687878958,680332584555,1
195372000557,195372000595,1
195372000557,3661834102482,1
195372000557,642709101956,1
195372000564,195372000595,1
195372000564,195372000618,1
195372000564,642709101956,1
195372000571,195372000595,1
195372000571,642709101956,1
195372000595,642709101956,1
195372000625,195372111802,1
195372000724,195372111802,1
195893430192,860000692298,1
198717100493,739781523438,1
198717100493,747519482230,1
198717100493,751901631939,1
20095901,4013143110266,1
20095901,4013143110280,1
2020005436343,2020005436367,1
20855346005530,855346005536,1
231302714337,747519475737,1
231302714337,751787157370,1
231302714337,758106228582,1
231302714337,763515912137,1
231302714337,768795190725,1
302683229908,343602817165,1
304628332407,304628332773,1
30818411000714,796520502017,1
30818411000714,818411000706,1
3124480188564,3124480188571,1
3162855622329,3434896050028,1
3274936042053,3274936042107,1
3345252899857,3346097625496,1
3361730001253,3361730001352,1
342907937738,898999011561,1
344500186391,671194202954,1
344500186391,680332585033,1
352154327954,6452895811768,1
352154336161,811130031631,1
352154336161,811130033185,1
3564706553941,3564706669017,1
3700749305042,3700749305080,1
3700749305059,3700749305066,1
3700749305059,3700749305165,1
370621607019,370621607156,1
370621607019,370621607378,1
371993990181,371993990198,1
3770014856333,3770014856616,1
3770014856401,3770014856418,1
3770014856401,3770014856432,1
3770014856418,3770014856425,1
3770014856418,3770014856432,1
3770014856425,3770014856432,1
3800500925745,3800500925790,1
3902076610183,3902076610244,1
3902076610244,3902076610930,1
4002343346209,4002343346704,1
4004042980883,4004042989053,1
4004042981934,4004042981941,1
4009491028155,4009491222041,1
4009491028223,4009491228227,1
4013143110266,4013143110280,1
4013256010941,4013256991509,1
4013256010941,4013256991608,1
4013256010941,4013256998300,1
4013256991509,4013256991608,1
4013256991509,4013256998300,1
4013256991608,4013256998300,1
4058300156282,4058300156336,1
4100060034147,4100060034161,1
4100120101246,4100120601944,1
4100120101246,4100120602231,1
4100120601944,4100120602231,1
4101130062909,4101130062916,1
4102380025669,4102380025683,1
4102380026123,4102380026130,1
4102380026123,4102380026154,1
4102380026130,4102380026154,1
4102380027120,4102380032605,1
4102380029094,4102380029100,1
4102560110260,4102560120214,1
4102560110352,4102560110376,1
4104450065575,4104450065582,1
4202815494586,645318991642,1
4250519610719,4260631760902,1
4311501306024,4311501346617,1
4311501306024,4311501366912,1
4311501306024,4311501394854,1
460350098629,865920000437,1
460350098629,868235000451,1
460350098629,868235000475,1
460390348647,860000709606,1
5010102001589,5010102001619,1
5010102001589,5010102001640,1
5010102001619,5010102001640,1
5010102119604,5010102119673,1
5010102242241,5010102342835,1
5054267008366,5054267008410,1
5054267008366,5054267008458,1
5054267008410,5054267008458,1
5060128500504,720061306476,1
5060128500504,720061382142,1
5060128500504,720061382180,1
