gtin,canonical,mode_brand,mode_flavor,mode_type,salient_ngrams,dropped_redundant_ngrams,volume_set,pack_set,package_type_set,package_material_set,flavor_set,carbonation_set,sweetener_set,pulp_set,volume_confidence,pack_confidence,volume_consistency,pack_consistency,n_titles,description_evidence,breadcrumb_evidence
100000982945,monini coffee concentrate_new_improved_version,Monini,coffee,,['concentrate_new_improved_version'],"['coffee_concentrate_new_improved', 'new_improved_version_sweetener', 'improved_version_sweetener_unsweetened', 'version_sweetener_unsweetened_volume']",[1000.0],[],[],[],['coffee'],[],[],[],0.9,0.0,1.0,1.0,1,"['"""" \n* All products are Kosher \n* Does not contain HFSC ( High Fructose Corn Syrup) \n* Unsweetened \n* 1 liter plastic bottle \n"""" ; Food Condition Shelf- Stable / Ambient ; Nutrient Content Claims Vegan ;']","['["""" Food"""","""" Coffee"""","""" Bottled Coffee"""","""" Cold Brew Coffee""""]']"
100140705596,strike force grape water carbonated kr_white_flavored,Strike Force,grape,water,['kr_white_flavored'],"['kr_white_grape_flavored', 'white_grape_flavored_sparkling', 'grape_flavored_sparkling_bottled', 'sparkling_bottled_water_carbonization', 'bottled_water_carbonization_sparkling', 'sparkling']",[1000.0],[2],[],[],['grape'],['carbonated'],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 3.0 servings per container \n* Serving size 1 Bottle \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated Fat \n* Trans Fat']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140706722,strike force lemon water carbonated strawberry kr_lemonade_flavored,Strike Force,lemon,water,['kr_lemonade_flavored'],"['kr_strawberry_lemonade_flavored', 'strawberry_lemonade_flavored_seltzer', 'lemonade_flavored_seltzer_water', 'pk_water_type_seltzer', 'seltzer_water_pk_water', 'carbonated']",[355.0],[2],['can'],[],"['lemon', 'strawberry']",['carbonated'],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 12.0 servings per container \n* Serving size 1 can (354mL) \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium10mg Sodium \n* Total Carbohydr']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140707828,strike force grapefruit water carbonated kr_pink_flavored,Strike Force,grapefruit,water,['kr_pink_flavored'],"['kr_pink_grapefruit_flavored', 'pink_grapefruit_flavored_seltzer', 'grapefruit_flavored_seltzer_water', 'seltzer_flavour_grapefruit_type', 'flavour_grapefruit_type_carbonization', 'carbonated']",[355.0],[2],['can'],[],['grapefruit'],['carbonated'],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 12.0 servings per container \n* Serving size 1 can (354mL) \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium10mg Sodium \n* Total Carbohydr']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140709075,strike force lime water carbonated flavoured_caffeine_15_carbonization,Strike Force,lime,water,['flavoured_caffeine_15_carbonization'],"['sparkling_type_liquid_flavour', 'liquid_flavour_lime_volume', '15_carbonization_sparkling_type', 'type_liquid_flavour_lime', 'sparkling']",[1000.0],[2],[],[],['lime'],['carbonated'],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 3.0 servings per container \n* Serving size 1 Bottle \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated Fat \n* Trans Fat']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140791131,strike force lime water carbonated calcium_iron_volume_flavour,Strike Force,lime,water,['calcium_iron_volume_flavour'],"['iron_volume_flavour_lime', 'flavoured_carbonization_sparkling_type', 'volume_flavour_lime_water', 'iron_volume_flavour', 'sparkling']",[1000.0],[],[],[],['lime'],['carbonated'],[],[],0.9,0.0,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 3.0 servings per container \n* Serving size 1 Bottle \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated Fat \n* Trans Fat']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140792213,strike force orange water carbonated mandarin,Strike Force,orange,water,['mandarin'],"['mandarin_orange', 'kr_mandarin_orange_flavored', 'pk_type_volume_water', 'mandarin_orange_flavored_seltzer', 'orange_flavored_seltzer_water', 'carbonated']",[355.0],[12],['can'],[],['orange'],['carbonated'],[],[],0.9,0.85,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* servings per container \n* Serving size 1 can (354mL) \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium10mg Sodium \n* Total Carbohydrate0g']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100141403330,g zero fruit still no_sugar punch,G Zero,fruit,,['punch'],"['zero_fruit_punch_zero', 'punch_zero_sugar_sports', 'sugar_sports_drink_carbonization', 'fruit_punch_zero_sugar', 'sports_drink_carbonization_still', 'no_sugar', 'still', 'sugar']",[828.0],[3],[],[],['fruit'],['still'],['no_sugar'],[],0.9,0.9,1.0,1.0,1,"['""""G Zero Fruit Punch Zero Sugar Sports Drink, 28 fl oz- Pack of 3"""" ; Brand Gatorade']","['["""" Food"""","""" Beverages"""","""" Sports Drinks"""","""" Gatorade""""]']"
100141411823,barissimo coffee still caramel_macchiato_iced,Barissimo,coffee,,['caramel_macchiato_iced'],"['caramel_macchiato_iced_coffee', 'macchiato_iced_coffee_type', 'iced_coffee_type_juice', 'juice_content_flavour_caramel', 'still']",[1893.0],[2],[],[],['coffee'],['still'],[],[],0.85,0.9,1.0,1.0,1,"['"""" Caramel Macchiato Iced Coffee, 64 fl oz- Pack of 2"""" ; Brand Barissimo']","['["""" Food"""","""" Coffee"""","""" Iced Coffee""""]']"
100141411847,g zero lemon still no_sugar lime sports,G Zero,lemon,,['sports'],"['zero_lemon_lime_zero', 'lime_zero_sugar_sports', 'sugar_sports_drink_flavour', 'sports_drink_flavour_lemon', 'lemon_lime_volume_828', 'no_sugar', 'still', 'sugar']",[828.0],[2],[],[],"['lemon', 'lime']",['still'],['no_sugar'],[],0.9,0.9,1.0,1.0,1,"['""""G Zero Lemon Lime Zero Sugar Sports Drink, 28 fl oz- Pack of 2"""" ; Brand Gatorade']","['["""" Food"""","""" Beverages"""","""" Sports Drinks"""","""" Gatorade""""]']"
