product_id,retailer,country,title,description,category_path,url,image_url,price,barcode,brand,category,attributes
1000036530,Plus,Netherlands,Nix & kix Sparkling mango ginger,purchase Nix & kix Sparkling mango ginger 250 milliliters online at plus.nl. make your shopping easy and home quickly delivery or pick up to your PLUS.,"[""""products"""",""""soft drink, juices, coffee, tea""""]",https://www.plus.nl/product/nix-kix-sparkling-mango-ginger-blik-250-ml-706446,https://images.ctfassets.net/s0lodsnpsezb/706446_M/7ffe805e7062c429923aa6640169f63d/706446.png,1.59,,Nix & Kix,Other Non-Cola Carbonates,"Volume: 250; Immune Support Ingredients: ginger; Carbonization: sparkling; Naturally derived: natural fragrances; Pack Type: Can; Flavour: ginger, mango"
1000054858,Walmart,USA,"Clearly Canadian Clearly Sparkling Limon Essence Unsweetened Flavored Sparkling Mineral Water, Zero Sugar & Zero Calories, 1 Case (12 Bottles x 325mL)",""""" Clearly Canadian Clearly Sparkling Limon Essence Unsweetened Flavored Sparkling Mineral Water, Zero Sugar & Zero Calories, 1 Case (12 Bottles x 325mL)"""" ; Flavor Limon Essence ; Container Type Bottle","["""" Food"""","""" Beverages"""","""" Water"""","""" Sparkling Water""""]",https://www.walmart.com/ip/Clearly-Canadian-Clearly-Sparkling-Limon-Essence-Unsweetened-Flavored-Sparkling-Mineral-Water-Zero-Sugar-Zero-Calories-1-Case-12-Bottles-x-325mL/8355112140?classType=REGULAR,https://i5.walmartimages.com/seo/Clearly-Canadian-Sparkling-Limon-Essence-Unsweetened-Flavored-Mineral-Water-Zero-Sugar-Calories-1-Case-12-Bottles-x-325mL_418c3601-e5a2-4864-8036-702379cc4575.76cfab2fe58bb84f149bf18e2735ff1b.jpeg,49.99,,Clearly Canadian,Sparkling Flavoured Bottled Water,"Juice Content: 0-2%; Health Claims: no sugar, no calories; Sweetener: unsweetened; Carbonization: sparkling; Volume: 325; Water Type: flavoured, mineral; No Artificial Ingredients: no artificial sweeteners"
1000077375,Walmart,USA,Bubblr Beverage Twisted Elixir 6 Pack 72 fl oz ( Pack Of 4),""""" 
* Elevate your refreshment game with unique, flavorful twists. 
* Perfectly balanced, this elixir provides a refreshing burst of taste. 
* Versatile for any occasion, from parties to solo sipping e","["""" Food"""","""" Beverages"""","""" Water"""","""" Sparkling Water""""]",https://www.walmart.com/ip/Bubblr-Beverage-Twisted-Elixir-6-Pack-72-fl-oz-Pack-Of-4/9760355225?classType=VARIANT,https://i5.walmartimages.com/seo/Bubblr-Beverage-Twisted-Elixir-6-Pack-72-fl-oz-Pack-Of-4_e148202a-bc17-4df7-807b-7c855c38c875.e01fafafa09821c21c84bcb826948b16.jpeg,49.98,,Bubbl'r,Other Non-Cola Carbonates,Pack Type: Carton/Box; Carbonization: sparkling; Juice Content: 0-2%
1000077678,Walmart,USA,"Hawaiian Springs- Natural Artesian Bottled Water | Volcanic Enhanced Alkaline Electrolytes | Sourced On Big Island, Hawaii | 1L ( Pack of 6)",""""" 
* Package Information: Bottle 
* Item Volume: 1 Liters 
* Variety: Alkaline 
"""" ; Brand Unbrand","["""" Food"""","""" Beverages"""","""" Water"""","""" Alkaline Water"""","""" All Alkaline Water""""]",https://www.walmart.com/ip/Hawaiian-Springs-Natural-Artesian-Bottled-Water-Volcanic-Enhanced-Alkaline-Electrolytes-Sourced-On-Big-Island-Hawaii-1L-Pack-of-6/14668603645?classType=REGULAR,https://i5.walmartimages.com/asr/66a54ed3-f027-4598-9025-c19436ae61fe.f19cf3d823714c74e4069e0289f2c374.jpeg,67.49,,Hawaiian Springs,Functional Bottled Water,Volume: 1000; Juice Content: 0-2%; Sports Ingredients: electrolytes; Water Type: alkaline; Caffeine: 0-15 mg; Naturally derived: natural; Pack Type: Bottle; Carbonization: still
1000095839,Hoogvliet,Netherlands,Red grape,"## product information 
### product name 
soda with grape flavor, sugar and sweeteners 
### ingredients 
[ingredients_start]

ingredients: sparkling water, sugar, black carrot concentrate, apple extra","["""" soft drink, juices"""","""" soft drink"""","""" other fresh""""]",https://www.hoogvliet.com/product/fernandes-red-grape1,https://cdn.hoogvliet.com/Images/Product/XL/720674000.jpg,0.95,,Fernandes,Other Non-Cola Carbonates,"Volume: 250; Sweetener: sucralose, sugar, acesulfame potassium; Pack Type: Can; Environmentally Friendly: environmentally friendly; Juice Content: 0-2%; Caffeine: 15-25 mg; Carbonization: carbonated, sparkling; Flavour: grape"
1000099672,Dia,Spain,drink from kombucha with red berries Upss Dia 250 ml bottle,,"["""" water, soft drinks and juices"""","""" other drinks""""]",https://www.dia.es/agua-refrescos-y-zumos/otras-bebidas/p/303641,https://dia.es/product_images/303641/303641_ISO_0_ES.jpg,1.79,,Upss,Carbonated RTD Tea and Kombucha,"Volume: 250; Sweetener: stevia, sugar; Carbonization: carbonated; Pack Type: Bottle; Juice Content: 0-2%; Tea Type: green; Flavour: berry"
1000100698,Ozdilek Sanal Market,Turkey,camlica mandarin soda 6X200ml,"camlica mandarin flavored soda, for years unchanging classic taste and cooling soda arbitrary refreshment with whatever you are looking for the moment is with you!","[""""drink"""","""" cold drinks"""","""" carbonated drinks"""","""" soda""""]",https://www.ozdilekteyim.com/market/camlica-mandalina-gazoz-6x200-ml,https://img-ozdilekteyim.mncdn.com/mnresize/848/848/medias/8697520790614.jpg?context=bWFzdGVyfHNhcHByb2R1Y3RpbWd8MzczMzM1fGltYWdlL2pwZWd8YUdJMkwyZzJaUzh4TURVMU5UZzFOVGN6TWpjMk5nfDIwMzUwZDJiZWZiNTFhNGMwMzFlN2M4NjcwZjNiMjFkMTYwOWYwNTM5NDU4MzQzNWIyMjgzN2YwMmI2YTdiZWQ,59.95,8697520790614,Çamlica,Other Non-Cola Carbonates,Volume: 200; Juice Content: 0-2%; Pack Type: Bottle; Carbonization: carbonated; Flavour: mandarin
1000166760,Plus,Netherlands,Cucumis Lavender,"purchase Cucumis Lavender 330 milliliters online at plus.nl. make your shopping easy and home quickly delivery or pick up to your PLUS. 
Cucumis Lavender is, like the name says it all, a refreshing dr","[""""products"""",""""soft drink, juices, coffee, tea""""]",https://www.plus.nl/product/cucumis-lavender-fles-330-ml-547066,https://images.ctfassets.net/s0lodsnpsezb/547066_M/53749a6aa7922d584c66f89b1ebbaf84/547066.png,1.79,,Cucumis,Other Non-Cola Carbonates,Volume: 330; Juice Content: 0-2%; Flavour: lavender; Naturally derived: natural; Water Type: mineral; Diets: vegan; Carbonization: still; Sweetener: sugar
1000171880,Walmart,USA,Crazy Water No. 4 Still Water 33.8 fl oz ( Pack of 6),""""" 
* Refreshingly pure taste with no added sugars or flavors. 
* Convenient pack size for hydration on-the-go or at home. 
* Hassle-free refills for your favorite beverage essentials. 
"""" ; Bottled Dri","["""" Food"""","""" Beverages"""","""" Water"""","""" Bottled Water""""]",https://www.walmart.com/ip/Crazy-Water-No-4-Still-Water-33-8-fl-oz-Pack-of-6/9763762542?classType=VARIANT,https://i5.walmartimages.com/seo/Crazy-Water-No-4-Still-Water-33-8-fl-oz-Pack-of-6_78a67516-c533-474d-90a7-5d64568115ee.19931b26103c31a60775bb0adbaff5f9.jpeg,44.98,,Crazy Water,Functional Bottled Water,"Volume: 1000; Water Type: purified; Carbonization: still; Health Claims: no added sugar, hydrating; Juice Content: 0-2%; Pack Type: Bottle"
1000175171,Plus,Netherlands,Wostok Dragon-gember,"purchase Wostok Dragon-gember 330 milliliters online at plus.nl. make your shopping easy and home quickly delivery or pick up to your PLUS. 
Wostok Dragon- ginger has already everything to are head hu","[""""products"""",""""soft drink, juices, coffee, tea""""]",https://www.plus.nl/product/wostok-dragon-gember-fles-330-ml-547726,https://images.ctfassets.net/s0lodsnpsezb/547726_M/f11cdd84d0bfd7f287af1afa87da89ea/547726.png,1.79,,Wostok,Other Non-Cola Carbonates,"Immune Support Ingredients: ginger, antioxidants; Pack Type: Bottle; Volume: 330; Naturally derived: natural flavours; Caffeine: 15-25 mg; Sweetener: sugar; Juice Content: 0-2%"
